2022-05-04 17:18:58.366 ERROR [nio-8081-exec-1] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 0:0:0:0:0:0:0:1, STATUS: 400, ERROR: Missing required request parameter type
2022-05-04 18:33:45.836  INFO [nio-8081-exec-5] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 84
2022-05-04 18:33:48.158  INFO [nio-8081-exec-7] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 9
2022-05-04 18:33:51.401  INFO [nio-8081-exec-9] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 82
2022-05-04 18:33:54.376  INFO [io-8081-exec-10] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 2
2022-05-04 18:33:56.320  INFO [nio-8081-exec-1] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 81
2022-05-04 18:33:58.523  INFO [nio-8081-exec-3] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 2
2022-05-04 18:33:59.744  INFO [nio-8081-exec-4] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 3
2022-05-04 18:34:01.862  INFO [nio-8081-exec-8] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 89
2022-05-04 18:34:04.470  INFO [nio-8081-exec-2] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 5
2022-05-04 18:34:10.711  INFO [nio-8081-exec-6] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 82
